# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=10 seed=42 integrator=asm512
a_init,e_init,da_over_a
0.05,0.9309045226,nan
0.05,0.935678392,nan
0.05,0.9404522613,nan
0.05,0.9452261307,nan
0.05,0.95,nan
0.05477386935,0,nan
0.05477386935,0.004773869347,nan
0.05477386935,0.009547738693,nan
0.05477386935,0.01432160804,nan
0.05477386935,0.01909547739,nan
0.05477386935,0.02386934673,nan
0.05477386935,0.02864321608,nan
0.05477386935,0.03341708543,nan
0.05477386935,0.03819095477,nan
0.05477386935,0.04296482412,nan
0.05477386935,0.04773869347,nan
0.05477386935,0.05251256281,nan
0.05477386935,0.05728643216,nan
0.05477386935,0.06206030151,nan
0.05477386935,0.06683417085,nan
0.05477386935,0.0716080402,nan
0.05477386935,0.07638190955,nan
0.05477386935,0.08115577889,nan
0.05477386935,0.08592964824,nan
0.05477386935,0.09070351759,nan
0.05477386935,0.09547738693,nan
0.05477386935,0.1002512563,nan
0.05477386935,0.1050251256,nan
0.05477386935,0.109798995,nan
0.05477386935,0.1145728643,nan
0.05477386935,0.1193467337,nan
0.05477386935,0.124120603,nan
0.05477386935,0.1288944724,nan
0.05477386935,0.1336683417,nan
0.05477386935,0.1384422111,nan
0.05477386935,0.1432160804,nan
0.05477386935,0.1479899497,nan
0.05477386935,0.1527638191,nan
0.05477386935,0.1575376884,nan
0.05477386935,0.1623115578,7.6555549365222353e-01
0.05477386935,0.1670854271,nan
0.05477386935,0.1718592965,nan
0.05477386935,0.1766331658,nan
0.05477386935,0.1814070352,1.7408871274619893e+00
0.05477386935,0.1861809045,nan
0.05477386935,0.1909547739,nan
0.05477386935,0.1957286432,nan
0.05477386935,0.2005025126,nan
0.05477386935,0.2052763819,nan
0.05477386935,0.2100502513,nan
0.05477386935,0.2148241206,nan
0.05477386935,0.2195979899,nan
0.05477386935,0.2243718593,nan
0.05477386935,0.2291457286,nan
0.05477386935,0.233919598,nan
0.05477386935,0.2386934673,nan
0.05477386935,0.2434673367,nan
0.05477386935,0.248241206,nan
0.05477386935,0.2530150754,nan
0.05477386935,0.2577889447,1.6649953038105987e+00
0.05477386935,0.2625628141,nan
0.05477386935,0.2673366834,nan
0.05477386935,0.2721105528,nan
0.05477386935,0.2768844221,nan
0.05477386935,0.2816582915,nan
0.05477386935,0.2864321608,nan
0.05477386935,0.2912060302,nan
0.05477386935,0.2959798995,nan
0.05477386935,0.3007537688,nan
0.05477386935,0.3055276382,nan
0.05477386935,0.3103015075,nan
0.05477386935,0.3150753769,nan
0.05477386935,0.3198492462,nan
0.05477386935,0.3246231156,nan
0.05477386935,0.3293969849,nan
0.05477386935,0.3341708543,nan
0.05477386935,0.3389447236,nan
0.05477386935,0.343718593,nan
0.05477386935,0.3484924623,nan
0.05477386935,0.3532663317,nan
0.05477386935,0.358040201,nan
0.05477386935,0.3628140704,nan
0.05477386935,0.3675879397,nan
0.05477386935,0.372361809,nan
0.05477386935,0.3771356784,nan
0.05477386935,0.3819095477,nan
0.05477386935,0.3866834171,nan
0.05477386935,0.3914572864,nan
0.05477386935,0.3962311558,nan
0.05477386935,0.4010050251,nan
0.05477386935,0.4057788945,nan
0.05477386935,0.4105527638,nan
0.05477386935,0.4153266332,nan
0.05477386935,0.4201005025,nan
0.05477386935,0.4248743719,nan
0.05477386935,0.4296482412,nan
0.05477386935,0.4344221106,nan
0.05477386935,0.4391959799,nan
0.05477386935,0.4439698492,nan
0.05477386935,0.4487437186,nan
0.05477386935,0.4535175879,nan
0.05477386935,0.4582914573,nan
0.05477386935,0.4630653266,nan
0.05477386935,0.467839196,nan
0.05477386935,0.4726130653,nan
0.05477386935,0.4773869347,nan
0.05477386935,0.482160804,nan
0.05477386935,0.4869346734,nan
0.05477386935,0.4917085427,nan
0.05477386935,0.4964824121,nan
0.05477386935,0.5012562814,nan
0.05477386935,0.5060301508,nan
0.05477386935,0.5108040201,nan
0.05477386935,0.5155778894,nan
0.05477386935,0.5203517588,nan
0.05477386935,0.5251256281,nan
0.05477386935,0.5298994975,nan
0.05477386935,0.5346733668,nan
0.05477386935,0.5394472362,nan
0.05477386935,0.5442211055,nan
0.05477386935,0.5489949749,nan
0.05477386935,0.5537688442,nan
0.05477386935,0.5585427136,nan
0.05477386935,0.5633165829,nan
0.05477386935,0.5680904523,nan
0.05477386935,0.5728643216,nan
0.05477386935,0.577638191,nan
0.05477386935,0.5824120603,nan
0.05477386935,0.5871859296,nan
0.05477386935,0.591959799,nan
0.05477386935,0.5967336683,nan
0.05477386935,0.6015075377,nan
0.05477386935,0.606281407,nan
0.05477386935,0.6110552764,nan
0.05477386935,0.6158291457,nan
0.05477386935,0.6206030151,nan
0.05477386935,0.6253768844,nan
0.05477386935,0.6301507538,nan
0.05477386935,0.6349246231,nan
0.05477386935,0.6396984925,nan
0.05477386935,0.6444723618,nan
0.05477386935,0.6492462312,nan
0.05477386935,0.6540201005,nan
0.05477386935,0.6587939698,nan
0.05477386935,0.6635678392,nan
0.05477386935,0.6683417085,nan
0.05477386935,0.6731155779,nan
0.05477386935,0.6778894472,nan
0.05477386935,0.6826633166,nan
0.05477386935,0.6874371859,nan
0.05477386935,0.6922110553,nan
0.05477386935,0.6969849246,nan
0.05477386935,0.701758794,nan
0.05477386935,0.7065326633,nan
0.05477386935,0.7113065327,nan
0.05477386935,0.716080402,nan
0.05477386935,0.7208542714,nan
0.05477386935,0.7256281407,nan
0.05477386935,0.7304020101,nan
0.05477386935,0.7351758794,nan
0.05477386935,0.7399497487,nan
0.05477386935,0.7447236181,nan
0.05477386935,0.7494974874,nan
0.05477386935,0.7542713568,nan
0.05477386935,0.7590452261,nan
0.05477386935,0.7638190955,nan
0.05477386935,0.7685929648,nan
0.05477386935,0.7733668342,nan
0.05477386935,0.7781407035,nan
0.05477386935,0.7829145729,nan
0.05477386935,0.7876884422,nan
0.05477386935,0.7924623116,nan
0.05477386935,0.7972361809,nan
0.05477386935,0.8020100503,nan
0.05477386935,0.8067839196,nan
0.05477386935,0.8115577889,nan
0.05477386935,0.8163316583,nan
0.05477386935,0.8211055276,nan
0.05477386935,0.825879397,nan
0.05477386935,0.8306532663,nan
0.05477386935,0.8354271357,nan
0.05477386935,0.840201005,nan
0.05477386935,0.8449748744,nan
0.05477386935,0.8497487437,nan
0.05477386935,0.8545226131,nan
0.05477386935,0.8592964824,nan
0.05477386935,0.8640703518,nan
0.05477386935,0.8688442211,nan
0.05477386935,0.8736180905,nan
0.05477386935,0.8783919598,nan
0.05477386935,0.8831658291,nan
0.05477386935,0.8879396985,nan
0.05477386935,0.8927135678,nan
0.05477386935,0.8974874372,nan
0.05477386935,0.9022613065,nan
0.05477386935,0.9070351759,nan
0.05477386935,0.9118090452,nan
0.05477386935,0.9165829146,nan
0.05477386935,0.9213567839,nan
0.05477386935,0.9261306533,nan
0.05477386935,0.9309045226,nan
0.05477386935,0.935678392,nan
0.05477386935,0.9404522613,nan
0.05477386935,0.9452261307,nan
0.05477386935,0.95,nan
0.05954773869,0,8.3756444532301177e-01
0.05954773869,0.004773869347,nan
0.05954773869,0.009547738693,nan
0.05954773869,0.01432160804,nan
0.05954773869,0.01909547739,nan
0.05954773869,0.02386934673,nan
0.05954773869,0.02864321608,nan
0.05954773869,0.03341708543,nan
0.05954773869,0.03819095477,nan
0.05954773869,0.04296482412,nan
0.05954773869,0.04773869347,nan
0.05954773869,0.05251256281,nan
0.05954773869,0.05728643216,nan
0.05954773869,0.06206030151,nan
0.05954773869,0.06683417085,nan
0.05954773869,0.0716080402,nan
0.05954773869,0.07638190955,nan
0.05954773869,0.08115577889,nan
0.05954773869,0.08592964824,nan
0.05954773869,0.09070351759,nan
0.05954773869,0.09547738693,nan
0.05954773869,0.1002512563,nan
0.05954773869,0.1050251256,nan
0.05954773869,0.109798995,nan
0.05954773869,0.1145728643,nan
0.05954773869,0.1193467337,nan
0.05954773869,0.124120603,nan
0.05954773869,0.1288944724,nan
0.05954773869,0.1336683417,nan
0.05954773869,0.1384422111,nan
0.05954773869,0.1432160804,nan
0.05954773869,0.1479899497,nan
0.05954773869,0.1527638191,nan
0.05954773869,0.1575376884,nan
0.05954773869,0.1623115578,nan
0.05954773869,0.1670854271,nan
0.05954773869,0.1718592965,nan
0.05954773869,0.1766331658,nan
0.05954773869,0.1814070352,nan
0.05954773869,0.1861809045,nan
0.05954773869,0.1909547739,nan
0.05954773869,0.1957286432,nan
0.05954773869,0.2005025126,nan
0.05954773869,0.2052763819,nan
0.05954773869,0.2100502513,nan
0.05954773869,0.2148241206,nan
0.05954773869,0.2195979899,nan
0.05954773869,0.2243718593,nan
0.05954773869,0.2291457286,nan
0.05954773869,0.233919598,nan
0.05954773869,0.2386934673,nan
0.05954773869,0.2434673367,nan
0.05954773869,0.248241206,nan
0.05954773869,0.2530150754,nan
0.05954773869,0.2577889447,nan
0.05954773869,0.2625628141,nan
0.05954773869,0.2673366834,nan
0.05954773869,0.2721105528,nan
0.05954773869,0.2768844221,nan
0.05954773869,0.2816582915,nan
0.05954773869,0.2864321608,nan
0.05954773869,0.2912060302,nan
0.05954773869,0.2959798995,nan
0.05954773869,0.3007537688,nan
0.05954773869,0.3055276382,nan
0.05954773869,0.3103015075,nan
0.05954773869,0.3150753769,nan
0.05954773869,0.3198492462,nan
0.05954773869,0.3246231156,nan
0.05954773869,0.3293969849,nan
0.05954773869,0.3341708543,nan
0.05954773869,0.3389447236,nan
0.05954773869,0.343718593,nan
0.05954773869,0.3484924623,nan
0.05954773869,0.3532663317,nan
0.05954773869,0.358040201,nan
0.05954773869,0.3628140704,nan
0.05954773869,0.3675879397,nan
0.05954773869,0.372361809,nan
0.05954773869,0.3771356784,nan
0.05954773869,0.3819095477,nan
0.05954773869,0.3866834171,nan
0.05954773869,0.3914572864,nan
0.05954773869,0.3962311558,nan
0.05954773869,0.4010050251,nan
0.05954773869,0.4057788945,nan
0.05954773869,0.4105527638,nan
0.05954773869,0.4153266332,nan
0.05954773869,0.4201005025,nan
0.05954773869,0.4248743719,nan
0.05954773869,0.4296482412,nan
0.05954773869,0.4344221106,nan
0.05954773869,0.4391959799,nan
0.05954773869,0.4439698492,nan
0.05954773869,0.4487437186,nan
0.05954773869,0.4535175879,nan
0.05954773869,0.4582914573,nan
0.05954773869,0.4630653266,nan
0.05954773869,0.467839196,nan
0.05954773869,0.4726130653,nan
0.05954773869,0.4773869347,nan
0.05954773869,0.482160804,nan
0.05954773869,0.4869346734,nan
0.05954773869,0.4917085427,nan
0.05954773869,0.4964824121,nan
0.05954773869,0.5012562814,nan
0.05954773869,0.5060301508,nan
0.05954773869,0.5108040201,nan
0.05954773869,0.5155778894,nan
0.05954773869,0.5203517588,nan
0.05954773869,0.5251256281,nan
0.05954773869,0.5298994975,nan
0.05954773869,0.5346733668,nan
0.05954773869,0.5394472362,nan
0.05954773869,0.5442211055,nan
0.05954773869,0.5489949749,nan
0.05954773869,0.5537688442,nan
0.05954773869,0.5585427136,nan
0.05954773869,0.5633165829,nan
0.05954773869,0.5680904523,nan
0.05954773869,0.5728643216,nan
0.05954773869,0.577638191,nan
0.05954773869,0.5824120603,nan
0.05954773869,0.5871859296,nan
0.05954773869,0.591959799,nan
0.05954773869,0.5967336683,nan
0.05954773869,0.6015075377,nan
0.05954773869,0.606281407,nan
0.05954773869,0.6110552764,nan
0.05954773869,0.6158291457,nan
0.05954773869,0.6206030151,nan
0.05954773869,0.6253768844,nan
0.05954773869,0.6301507538,nan
0.05954773869,0.6349246231,nan
0.05954773869,0.6396984925,nan
0.05954773869,0.6444723618,nan
0.05954773869,0.6492462312,nan
0.05954773869,0.6540201005,nan
0.05954773869,0.6587939698,nan
0.05954773869,0.6635678392,nan
0.05954773869,0.6683417085,nan
0.05954773869,0.6731155779,nan
0.05954773869,0.6778894472,nan
0.05954773869,0.6826633166,nan
0.05954773869,0.6874371859,nan
0.05954773869,0.6922110553,nan
0.05954773869,0.6969849246,nan
0.05954773869,0.701758794,nan
0.05954773869,0.7065326633,nan
0.05954773869,0.7113065327,nan
0.05954773869,0.716080402,nan
0.05954773869,0.7208542714,nan
0.05954773869,0.7256281407,nan
0.05954773869,0.7304020101,nan
0.05954773869,0.7351758794,nan
0.05954773869,0.7399497487,nan
0.05954773869,0.7447236181,nan
0.05954773869,0.7494974874,nan
0.05954773869,0.7542713568,nan
0.05954773869,0.7590452261,nan
0.05954773869,0.7638190955,nan
0.05954773869,0.7685929648,nan
0.05954773869,0.7733668342,nan
0.05954773869,0.7781407035,nan
0.05954773869,0.7829145729,nan
0.05954773869,0.7876884422,nan
0.05954773869,0.7924623116,nan
0.05954773869,0.7972361809,nan
0.05954773869,0.8020100503,nan
0.05954773869,0.8067839196,nan
0.05954773869,0.8115577889,nan
0.05954773869,0.8163316583,nan
0.05954773869,0.8211055276,nan
0.05954773869,0.825879397,nan
0.05954773869,0.8306532663,nan
0.05954773869,0.8354271357,nan
0.05954773869,0.840201005,nan
0.05954773869,0.8449748744,nan
0.05954773869,0.8497487437,nan
0.05954773869,0.8545226131,nan
0.05954773869,0.8592964824,nan
0.05954773869,0.8640703518,nan
0.05954773869,0.8688442211,nan
0.05954773869,0.8736180905,nan
0.05954773869,0.8783919598,nan
0.05954773869,0.8831658291,nan
0.05954773869,0.8879396985,nan
0.05954773869,0.8927135678,nan
0.05954773869,0.8974874372,nan
0.05954773869,0.9022613065,nan
0.05954773869,0.9070351759,nan
0.05954773869,0.9118090452,nan
0.05954773869,0.9165829146,nan
0.05954773869,0.9213567839,nan
0.05954773869,0.9261306533,nan
0.05954773869,0.9309045226,nan
0.05954773869,0.935678392,nan
0.05954773869,0.9404522613,nan
0.05954773869,0.9452261307,nan
0.05954773869,0.95,nan
0.06432160804,0,nan
0.06432160804,0.004773869347,nan
0.06432160804,0.009547738693,nan
0.06432160804,0.01432160804,nan
0.06432160804,0.01909547739,nan
0.06432160804,0.02386934673,nan
0.06432160804,0.02864321608,nan
0.06432160804,0.03341708543,nan
0.06432160804,0.03819095477,nan
0.06432160804,0.04296482412,nan
0.06432160804,0.04773869347,nan
0.06432160804,0.05251256281,nan
0.06432160804,0.05728643216,nan
0.06432160804,0.06206030151,nan
0.06432160804,0.06683417085,nan
0.06432160804,0.0716080402,nan
0.06432160804,0.07638190955,nan
0.06432160804,0.08115577889,nan
0.06432160804,0.08592964824,nan
0.06432160804,0.09070351759,nan
0.06432160804,0.09547738693,nan
0.06432160804,0.1002512563,nan
0.06432160804,0.1050251256,nan
0.06432160804,0.109798995,nan
0.06432160804,0.1145728643,nan
0.06432160804,0.1193467337,nan
0.06432160804,0.124120603,nan
0.06432160804,0.1288944724,nan
0.06432160804,0.1336683417,nan
0.06432160804,0.1384422111,nan
0.06432160804,0.1432160804,nan
0.06432160804,0.1479899497,nan
0.06432160804,0.1527638191,nan
0.06432160804,0.1575376884,nan
0.06432160804,0.1623115578,nan
0.06432160804,0.1670854271,nan
0.06432160804,0.1718592965,nan
0.06432160804,0.1766331658,nan
0.06432160804,0.1814070352,nan
0.06432160804,0.1861809045,nan
0.06432160804,0.1909547739,nan
0.06432160804,0.1957286432,nan
0.06432160804,0.2005025126,nan
0.06432160804,0.2052763819,9.0280860742484625e-01
0.06432160804,0.2100502513,nan
0.06432160804,0.2148241206,nan
0.06432160804,0.2195979899,nan
0.06432160804,0.2243718593,nan
0.06432160804,0.2291457286,nan
0.06432160804,0.233919598,nan
0.06432160804,0.2386934673,nan
0.06432160804,0.2434673367,nan
0.06432160804,0.248241206,nan
0.06432160804,0.2530150754,nan
0.06432160804,0.2577889447,nan
0.06432160804,0.2625628141,nan
0.06432160804,0.2673366834,nan
0.06432160804,0.2721105528,2.3314078425306906e-01
0.06432160804,0.2768844221,nan
0.06432160804,0.2816582915,nan
0.06432160804,0.2864321608,nan
0.06432160804,0.2912060302,nan
0.06432160804,0.2959798995,nan
0.06432160804,0.3007537688,nan
0.06432160804,0.3055276382,nan
0.06432160804,0.3103015075,nan
0.06432160804,0.3150753769,nan
0.06432160804,0.3198492462,nan
0.06432160804,0.3246231156,nan
0.06432160804,0.3293969849,nan
0.06432160804,0.3341708543,nan
0.06432160804,0.3389447236,nan
0.06432160804,0.343718593,nan
0.06432160804,0.3484924623,nan
0.06432160804,0.3532663317,nan
0.06432160804,0.358040201,nan
0.06432160804,0.3628140704,nan
0.06432160804,0.3675879397,nan
0.06432160804,0.372361809,nan
0.06432160804,0.3771356784,nan
0.06432160804,0.3819095477,nan
0.06432160804,0.3866834171,nan
0.06432160804,0.3914572864,nan
0.06432160804,0.3962311558,nan
0.06432160804,0.4010050251,nan
0.06432160804,0.4057788945,nan
0.06432160804,0.4105527638,nan
0.06432160804,0.4153266332,nan
0.06432160804,0.4201005025,nan
0.06432160804,0.4248743719,nan
0.06432160804,0.4296482412,nan
0.06432160804,0.4344221106,nan
0.06432160804,0.4391959799,nan
0.06432160804,0.4439698492,nan
0.06432160804,0.4487437186,nan
0.06432160804,0.4535175879,nan
0.06432160804,0.4582914573,nan
0.06432160804,0.4630653266,nan
0.06432160804,0.467839196,nan
0.06432160804,0.4726130653,nan
0.06432160804,0.4773869347,nan
0.06432160804,0.482160804,nan
0.06432160804,0.4869346734,nan
0.06432160804,0.4917085427,nan
0.06432160804,0.4964824121,nan
0.06432160804,0.5012562814,nan
0.06432160804,0.5060301508,nan
0.06432160804,0.5108040201,nan
0.06432160804,0.5155778894,nan
0.06432160804,0.5203517588,nan
0.06432160804,0.5251256281,nan
0.06432160804,0.5298994975,nan
0.06432160804,0.5346733668,nan
0.06432160804,0.5394472362,nan
0.06432160804,0.5442211055,nan
0.06432160804,0.5489949749,nan
0.06432160804,0.5537688442,nan
0.06432160804,0.5585427136,2.8232512002085659e+01
0.06432160804,0.5633165829,nan
0.06432160804,0.5680904523,nan
0.06432160804,0.5728643216,nan
0.06432160804,0.577638191,nan
0.06432160804,0.5824120603,nan
0.06432160804,0.5871859296,nan
0.06432160804,0.591959799,nan
0.06432160804,0.5967336683,nan
0.06432160804,0.6015075377,nan
0.06432160804,0.606281407,nan
0.06432160804,0.6110552764,nan
0.06432160804,0.6158291457,nan
0.06432160804,0.6206030151,nan
0.06432160804,0.6253768844,nan
0.06432160804,0.6301507538,nan
0.06432160804,0.6349246231,nan
0.06432160804,0.6396984925,nan
0.06432160804,0.6444723618,nan
0.06432160804,0.6492462312,nan
0.06432160804,0.6540201005,nan
0.06432160804,0.6587939698,nan
0.06432160804,0.6635678392,nan
0.06432160804,0.6683417085,nan
0.06432160804,0.6731155779,nan
0.06432160804,0.6778894472,nan
0.06432160804,0.6826633166,nan
0.06432160804,0.6874371859,nan
0.06432160804,0.6922110553,nan
0.06432160804,0.6969849246,nan
0.06432160804,0.701758794,nan
0.06432160804,0.7065326633,nan
0.06432160804,0.7113065327,nan
0.06432160804,0.716080402,nan
0.06432160804,0.7208542714,nan
0.06432160804,0.7256281407,nan
0.06432160804,0.7304020101,nan
0.06432160804,0.7351758794,nan
0.06432160804,0.7399497487,nan
0.06432160804,0.7447236181,nan
0.06432160804,0.7494974874,nan
0.06432160804,0.7542713568,nan
0.06432160804,0.7590452261,nan
0.06432160804,0.7638190955,nan
0.06432160804,0.7685929648,nan
0.06432160804,0.7733668342,nan
0.06432160804,0.7781407035,nan
0.06432160804,0.7829145729,nan
0.06432160804,0.7876884422,nan
0.06432160804,0.7924623116,nan
0.06432160804,0.7972361809,nan
0.06432160804,0.8020100503,nan
0.06432160804,0.8067839196,nan
0.06432160804,0.8115577889,nan
0.06432160804,0.8163316583,nan
0.06432160804,0.8211055276,nan
0.06432160804,0.825879397,nan
0.06432160804,0.8306532663,nan
0.06432160804,0.8354271357,nan
0.06432160804,0.840201005,nan
0.06432160804,0.8449748744,nan
0.06432160804,0.8497487437,nan
0.06432160804,0.8545226131,nan
0.06432160804,0.8592964824,nan
0.06432160804,0.8640703518,nan
0.06432160804,0.8688442211,nan
0.06432160804,0.8736180905,nan
0.06432160804,0.8783919598,nan
0.06432160804,0.8831658291,nan
0.06432160804,0.8879396985,nan
0.06432160804,0.8927135678,nan
0.06432160804,0.8974874372,nan
0.06432160804,0.9022613065,nan
0.06432160804,0.9070351759,nan
0.06432160804,0.9118090452,nan
0.06432160804,0.9165829146,nan
0.06432160804,0.9213567839,nan
0.06432160804,0.9261306533,nan
0.06432160804,0.9309045226,nan
0.06432160804,0.935678392,nan
0.06432160804,0.9404522613,nan
0.06432160804,0.9452261307,nan
0.06432160804,0.95,nan
0.06909547739,0,nan
0.06909547739,0.004773869347,nan
0.06909547739,0.009547738693,nan
0.06909547739,0.01432160804,nan
0.06909547739,0.01909547739,nan
0.06909547739,0.02386934673,nan
0.06909547739,0.02864321608,nan
0.06909547739,0.03341708543,nan
0.06909547739,0.03819095477,nan
0.06909547739,0.04296482412,nan
0.06909547739,0.04773869347,nan
0.06909547739,0.05251256281,nan
0.06909547739,0.05728643216,nan
0.06909547739,0.06206030151,nan
0.06909547739,0.06683417085,nan
0.06909547739,0.0716080402,nan
0.06909547739,0.07638190955,nan
0.06909547739,0.08115577889,nan
0.06909547739,0.08592964824,nan
0.06909547739,0.09070351759,nan
0.06909547739,0.09547738693,nan
0.06909547739,0.1002512563,nan
0.06909547739,0.1050251256,nan
0.06909547739,0.109798995,nan
0.06909547739,0.1145728643,nan
0.06909547739,0.1193467337,3.6963189230450511e-01
0.06909547739,0.124120603,nan
0.06909547739,0.1288944724,nan
0.06909547739,0.1336683417,nan
0.06909547739,0.1384422111,nan
0.06909547739,0.1432160804,nan
0.06909547739,0.1479899497,nan
0.06909547739,0.1527638191,nan
0.06909547739,0.1575376884,nan
0.06909547739,0.1623115578,nan
0.06909547739,0.1670854271,nan
0.06909547739,0.1718592965,nan
0.06909547739,0.1766331658,nan
0.06909547739,0.1814070352,2.2152511028182803e-01
0.06909547739,0.1861809045,nan
0.06909547739,0.1909547739,nan
0.06909547739,0.1957286432,nan
0.06909547739,0.2005025126,nan
0.06909547739,0.2052763819,9.5000993926336019e-01
0.06909547739,0.2100502513,1.5074796115445796e+01
0.06909547739,0.2148241206,nan
0.06909547739,0.2195979899,nan
0.06909547739,0.2243718593,nan
0.06909547739,0.2291457286,nan
